"","HF","MP2","SLATM-L2"
"74",-0.760000000000002,0.84,0.31
"75",-4.54,1.62,-1.07
"76",1.6,0.0800000000000001,0.91
"77",0.55,-1.39,0.47
"78",0.830000000000002,0.719999999999999,-1.8
"79",1.26,-0.6,-0.3
"80",-3.83,-0.949999999999999,0.7
"81",-1.93,1.16,3.68
"82",-0.5,-1.54,-1.41
"83",2.6,-0.65,0.69
"84",-3.8,-0.27,-0.49
"85",-0.559999999999999,0.680000000000001,0.81
"86",2.49,0.37,-0.6
"87",0.74,-1.66,0.7
"88",2.83,-0.00999999999999979,1.67
"89",-1.28,0.259999999999999,-0.29
"90",-0.359999999999999,-1.06,-0.35
"91",3.55,-2.16,9.01
"92",-3.78,-0.0599999999999952,-1.7
"93",1.89,1.16,-0.93
"94",-1.47,0.61,0.48
"95",2.8,0.22,-1.15
"96",-1.78,0.21,0.23
"97",-3.81,-0.65,-1.2
"98",-1.59,1.42,-2.32
"99",4.25,0.8,2.97
"100",-0.0500000000000007,-2.74,-0.13
"101",-5.34,-2.06,-2.43
"102",0.239999999999998,-0.41,0.63
"103",7.91,-1.26,12.8
"104",6.08,1.61,-0.07
"105",3.6,0.65,-1.38
"106",-1.35,0.93,-0.49
"107",-1.67,-1.04,-0.76
"108",5.18,0.34,0.71
"109",-1.65,0.66,-1
"110",-1.37,0.890000000000001,-0.37
"111",-0.539999999999999,0.32,0.58
"112",2.28,0.800000000000001,-0.34
"113",-0.620000000000001,1.08,-0.7
"114",1.02,0.959999999999999,8.18
"115",-1.75,-0.300000000000001,0.57
"116",9.21,0.3,9.53
"117",1.17,2.76,-1.89
"118",0.319999999999999,-2.15,-1.11
"119",-2.20999999999999,-2.16,1.26
"120",-2.49,1.56,2.68
"121",-2.75,-0.4,-0.38
"122",1.85,0.399999999999999,-0.91
"123",2.04,3.05,0.5
"124",4.63,3.66,-1.57
"125",0.55,-0.04,0.97
"126",1.84,-0.99,-0.05
"127",-0.579999999999998,0.690000000000001,0.22
"128",2.2,-1.83,0.9
"129",0.0999999999999999,-1.6,-0.08
"130",-0.869999999999999,0.74,0.52
"131",3.47,-2.54,1.54
"132",-1.86,0.120000000000001,-0.22
"133",2.24,1.63,-4.63
"134",-6.38,-1.07,-0.92
"135",2.07,0.66,-0.42
"136",-2.68,0.490000000000002,4.34
"137",0.81,1.79,0.89
"138",-0.109999999999999,-0.489999999999999,-0.29
"139",-2.19,0.19,-0.55
"140",-1.74,0.59,-0.09
"141",1.34,5.72,-0.03
"142",1.36,0.13,-0.75
"143",4.68,-1.75,0.45
"144",0.799999999999999,-1.53,0.7
"145",-4.04,-3.11,0.4
"146",-3.78,-1.85,0.47
"147",-0.19,-0.51,-0.68
"148",-2.17,2.96,0.24
"149",-0.920000000000002,0.359999999999999,0.29
"150",-1.71,1.78,-0.25
"151",1.98,0.460000000000001,-6.24
"152",-0.43,-0.6,-0.3
"153",3.69,2.8,2.82
"154",-1.1,-0.75,0.15
"155",5.96,0.66,0.89
"156",3.41,-1.41,0.28
"157",-3.61,-0.17,0.11
"158",-0.6,0.790000000000001,-0.38
"159",-3.67,-1.83,-1.09
"160",-0.340000000000003,-5.14,-0.25
"161",-2.63,1.44,-2.27
"162",1.99,0.19,0.9
"163",-2.25,-0.610000000000001,-0.28
"164",1.83,-1.98,-0.8
"165",0.699999999999999,-1.13,-0.09
"166",-5.45,1.12,0.93
"167",0.8,-1.15,-0.5
"168",4.87,2.43,-0.4
"169",1.93,-0.31,1.75
"170",1.81,1.35,2.2
"171",3.34,0.940000000000001,-1.74
"172",-5.28,-0.91,-0.13
"173",0.379999999999999,-0.220000000000001,0.83
"174",3.21,2.05,-0.79
"175",-3.62,0.460000000000001,0.24
"176",-1.04,0.389999999999999,-1.03
"177",-0.49,-0.220000000000001,0.78
"178",-3.87,0.379999999999999,0.19
"179",-0.91,-0.289999999999999,0.16
"180",0.0899999999999999,1.46,0.4
"181",1.65,-1.06,0.3
"182",-3.56,2.38,-0.56
"183",-5.81,0.399999999999999,1.25
"184",-3.83,-3.32,0.65
"185",0.3,-1.07,-0.12
"186",-2.73,1.29,1.35
"187",-1.71,0.31,0.6
"188",-2.85,1.09,-1.17
"189",10.79,-1.53,4.05
"190",-3.39,0.550000000000001,-0.06
"191",2.18,-1.56,0.23
"192",-0.350000000000001,-0.0500000000000007,0.33
"193",0.350000000000001,-5.39,-1.43
"194",-3.42,1.07,-0.4
"195",-1.13,-1.53,-0.46
"196",4.26,3.38,-2.52
"197",-1.14,-3.16,0.73
"198",1.26,-1.63,0.19
"199",-1.24,2.44,-3.79
"200",-2.67,1.04,-0.43
"201",-5.08,2.14,0.52
"202",3.18,-0.599999999999998,0.56
"203",0.640000000000001,-0.44,0.07
"204",-3.69,0.83,2.73
"205",-0.04,-1.12,-0.08
"206",0.15,0.0999999999999996,0.28
"207",-5.18,-1.22,-1.15
"208",-3.6,2.54,0.78
"209",3.74,-0.539999999999999,-0.86
"210",1.09,-0.439999999999998,0.64
"211",-4.3,-0.00999999999999801,-0.5
"212",0.170000000000002,-4.86,-0.25
"213",-1.99,-0.300000000000001,0.58
"214",-1.9,0.47,-0.42
"215",-0.0399999999999991,-3.57,-2.61
"216",-2.37,0.119999999999999,2.57
"217",-2.45,0.109999999999999,-0.75
"218",3.63,-1.18,0.39
"219",-0.67,0.47,-0.79
"220",0.81,-0.279999999999999,0.21
"221",2.5,0.279999999999998,0.55
"222",4.9,2.74,0.17
"223",-0.710000000000001,-3.26,-0.73
"224",1.26,0.75,0.91
"225",0.93,1.57,0.06
"226",-2.99,-0.349999999999998,-2.16
"227",0.03,-0.0299999999999998,0.26
"228",4.82,1.75,0.03
"229",8.59,-1.8,2.74
"230",2.46,-0.71,-0.92
"231",0.840000000000003,-1.29,1.3
"232",1.31,-0.41,-0.47
"233",2.39,-0.56,-0.81
"234",0.18,-0.59,-1.04
"235",-8.32,1.87,-14.58
"236",2.24,-1.79,0.26
"237",-2.31,2.27,0.07
"238",0.140000000000001,-1.19,0.4
"239",-4.38,-2.4,-1.13
"240",-1.04,-0.27,0.53
"241",-1.77,0.74,-0.06
"242",-1.96,4.58,0.63
"243",-0.690000000000001,-1.06,2.37
"244",0.869999999999997,0.299999999999997,2.73
"245",2.06,0.58,-0.13
"246",-4.67,0.550000000000001,-1.2
"247",1.04,1.27,0.31
"248",-1.01,-1.14,0.31
"249",-3.5,0.43,0.16
"250",-1.49,-0.33,-0.19
"251",-2.93,-1.49,-0.03
"252",-1.26,-1.7,-0.9
"253",2.98,0.510000000000002,-3.62
"254",-0.419999999999995,1.76,-0.96
"255",-3.98,-2.09,-1.42
"256",9.89,-4.03,-0.51
"257",17.11,-2.36,-9.93
"258",-2.23,-2.91,-4.69
"259",3.04,0.34,-0.43
"260",-3.5,-0.829999999999998,-1.05
"261",2.09,-1.39,0.76
"262",-4.14,0.330000000000002,-0.13
"263",-0.68,1.51,-0.43
"264",-4.48,-0.990000000000002,-1.2
"265",-5.88,-0.88,0.04
"266",-1.28,-0.810000000000002,0.23
"267",-1.96,0.0799999999999983,0.87
"268",1.97,-0.870000000000001,-0.53
"269",-2.76,2.43,-0.1
