"","LDA","LDA + SOC","PBE","PBE + SOC","PBE_SOL","HLE16","HLE16 + SOC","BJ","mBJ","SCAN","HSE06","HSE14","HSE_mix","PBE0","PBE0_mix"
"383",3.1268,3.129,2.8807,2.8873,3.0027,1.3577,1.3409,2.0732,0.666,2.3186,1.0269,0.1775,-0.8155,0.359500000000001,-1.5456
"384",1.2021,1.2023,1.0918,1.0996,1.1869,0.3713,0.3715,1.0041,0.8028,0.9205,0.4985,0.5132,0.4796,0.00769999999999982,0.5923
"385",0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.0939,0.094,0.094,-0.0762,-0.0264,-0.3225,0.065
"386",1.1137,1.2227,1.0576,1.1711,1.1031,0.784,1.0803,0.9584,0.825,0.9099,0.6392,0.674,0.5832,0.2148,0.5094
"387",1.234,1.3117,1.1245,1.1985,1.2074,0.1715,0.3185,0.7978,0.5281,0.7759,0.4062,0.3703,0.185,-0.1675,-0.1092
"388",0.9016,0.9515,0.7429,0.7931,0.8528,-0.349600000000001,-0.2592,0.4221,-0.0139,0.3891,-0.1075,-0.1734,-0.4698,-0.5236,-0.9008
"389",2.3933,2.3903,2.255,2.2636,2.3507,1.9817,1.9791,1.6014,0.3706,1.6595,0.4624,-0.519,-1.2534,-0.2371,-1.916
"390",0.5286,0.5426,0.5013,0.515,0.5509,-0.1384,-0.1134,0.2855,0.2166,0.316,0.158,0.2356,0.1018,-0.3438,-0.1078
"391",1.2467,1.2471,1.0512,1.0567,1.145,0.5671,0.5707,1.0142,0.4306,0.8093,0.1663,0.0175000000000001,-0.1004,-0.3677,-0.1898
"392",0.38,0.4047,0.2987,0.3227,0.3631,-0.2069,-0.2104,0.0499000000000001,-0.1094,0.0811000000000001,-0.1333,-0.0949,-0.1709,-0.6469,-0.3177
"393",0.4277,0.4516,0.2782,0.3073,0.3553,-0.2744,-0.232,0.1563,-0.2764,0.0513,-0.4299,-0.5135,-0.5828,-0.9827,-0.6828
"394",0.2699,0.1116,0.2734,0.1195,0.2277,-0.172,0.1379,0.1986,0.1731,0.2808,0.2556,0.3528,0.2526,-0.2791,0.0478
"395",0.2368,0.2331,0.1214,0.1164,0.1871,-0.437,-0.449,-0.1911,-0.8993,-0.075,-0.9602,-1.3691,-1.9036,-1.3041,-2.5293
"396",1.4589,1.4597,1.3725,1.374,1.4179,1.5681,1.5722,1.2477,0.5856,0.9994,-0.0909,-0.838,-1.3061,-0.8645,-1.9266
"397",1.4062,1.4065,1.3181,1.3202,1.3651,1.5169,1.4849,1.1855,0.5204,0.9529,-0.1319,-0.8709,-1.3691,-0.7243,-1.9208
"398",0.3203,0.4689,0.1917,0.3378,0.2743,-0.6965,-0.1799,-0.1477,-0.7047,-0.126,-0.9459,-1.2516,-1.5715,-1.6153,-2.061
"399",2.5985,2.5999,2.1426,2.1444,2.345,0.3221,0.2862,1.5677,0.2623,1.5844,0.8439,0.4796,0.1038,0.2452,-0.3793
