"","Ref","G4MP2","B3LYP","M06-2X","wB97X-D"
"C5H11N",-11.28,-11.09,-15.38,-10.48,-12.92
"C5H11N.1",-13.12,-12.14,-14.71,-10.2,-13.79
"C6H7N",20.82,20.18,17.22,19.18,18.87
"C6H7N.1",23.71,22.55,17.23,22.02,21.6
"C6H7N.2",25.43,24.5,19.21,24.11,23.77
"C6H7N.3",24.88,24,18.76,23.52,23.1
"C6H7N.4",65.03,66.37,66.6,64.08,65.92
"C6H7N.5",60.35,60.04,59.97,61.25,60.86
"C6H7N.6",37.4,37.86,37.02,39.8,39.69
"C6H9N",9.51,8.91,4.33,7.74,6.7
"C6H13N",-20.17,-20.32,-23.57,-18.7,-21.48
"C6H13N.1",-25.07,-24.6,-25.71,-22.24,-25.66
"C6H15N",-22.18,-22.72,-30.74,-20.94,-23.52
"C6H15N.1",-27.75,-26.97,-35.86,-25.25,-28.54
"C6H15N.2",-34.42,-32.18,-37.99,-29.49,-32.61
"C7H5N",51.55,50.37,49.86,50.69,52.94
"C7H9N",16.32,14.75,9.53,14.71,14.01
"C7H9N.1",15.27,13.89,8.09,13.92,12.99
"C7H9N.2",15.89,14.53,8.62,14.67,13.81
"C7H9N.3",14.03,12.53,6.63,12.52,11.57
"C7H9N.4",16.75,15.54,10.36,15.52,14.83
"C7H9N.5",17.4,16.41,10.58,16.66,15.85
"C7H9N.6",20.98,19.85,18.49,20.57,20.05
"C7H11N",1.15,1.54,3.11,3.64,2.91
"C7H13N",-1,-0.21,-0.33,1.6,-0.75
"C7H13N.1",-7.41,-7.51,-11.21,-4.95,-6.29
"C8H7N",37.4,37.38,36.22,35.6,36.27
"CH6N2",22.61,23.92,16.02,23.21,20.7
"C2H8N2",20.05,20.45,10.93,19.32,17.51
"C4H2N2",81.31,80.2,78.48,81.16,84.1
"C4H4N2",46.82,44.35,36.44,41.57,41.12
"C4H12N2",-17.69,-15.24,-19.21,-14.03,-17.34
"C6H8N2",48.49,50.37,44.37,47.87,46.77
"C4H12N4",64.7,67.01,46.68,64.16,60.62
"C2H5NO",-56.96,-55.12,-60.51,-57.46,-59.81
"C3H3NO",-3.7,-3.8,-7.82,-8.01,-6.25
"C3H3NO.1",18.79,19.28,14.23,17.45,17.29
"C3H7NO",-61.88,-61.37,-67.52,-63.64,-66.09
"C4H5NO",8.15,8.4,2.04,6.71,5.98
"C4H5NO.1",8.51,9.53,3.45,8.02,7.21
"C4H7NO",-31.19,-29.61,-36.09,-32.48,-32.58
"C4H9NO",-66.49,-66.3,-72.77,-68.14,-71.08
"C5H5NO",-19.05,-16.45,-21.72,-20.18,-21.12
