"","Ref","M11","M06-2X","ωB97","LC-τHCTH","HISS","LC-ωPBE","MP2"
"1455",77.33,77.381,77.645,77.122,77.73,76.714,75.938,78.253
"1457",56.941,57.377,57.39,57.347,57.664,56.471,56.346,56.77
"1475",56.73,53.906,53.792,54.584,54.913,52.898,53.775,57.505
"1479",86.006,85.681,85.709,84.834,85.441,84.125,83.666,86.555
"1502",79.592,81.351,81.523,80.043,80.349,80.69,78.909,79.78
"1563",67.214,66.878,66.516,66.679,66.254,65.479,65.519,67.153
"1564",80.97,80.634,80.842,80.01,80.384,79.632,78.596,81.037
"1588",100.186,98.335,98.627,97.051,97.566,96.772,95.84,100.557
"1603",97.864,98.191,98.56,97.137,97.741,97.306,95.799,98.358
"1604",91.97,90.37,90.492,89.34,89.636,88.741,88.226,92.336
"1607",64.526,63.389,63.542,63.774,63.791,62.719,62.678,65.137
"1610",65.351,64.512,64.742,64.412,64.44,63.849,63.405,65.864
"1617",102.065,100.276,100.578,98.572,99.007,98.449,97.309,103.147
"1619",69.957,69.425,69.634,69.323,69.435,68.605,67.92,69.997
"1622",81.519,81.318,81.405,80.646,80.996,80.181,79.557,81.537
"1625",70.964,71.173,71.25,70.397,70.82,70.174,69.33,71.616
"1626",79.066,80.606,80.536,80.178,79.279,80.321,78.837,79.279
"1630",51.33,50.784,50.87,51.026,50.895,50.093,50.106,51.418
"1633",108.792,111.8,112.25,108.93,109.34,110.969,107.548,109.191
"1634",63.556,65.314,65.271,65.396,65.032,65,64.2,63.662
