"","systems","HF","MP2","CCSD(T)","LSDA","PBE","HCTH","N12","revTPSS","tHCTH","M11-L","MN12-L","PBE0","mPW1PW","B3LYP","B3PW91","B97-2","M06","M06-2X","M06-HF","SOGGA11X","tHCTHhyb","BMK","TPSSh","LC-rTPSS","LC-wPBE","LC-N12","LC-HCTH","LC-tHCTH","M11","CAM-B3LYP","wB97XD","wB97","wB97X","N12-SX","MN12-SX","HSE06","HISS"
74,0936,65.048,68.681,68.348,73.101,72.355,71.527,70.810,71.019,71.276,74.207,71.591,69.255,69.007,70.080,69.366,69.154,70.194,68.394,67.860,68.548,70.043,68.548,69.978,66.163,66.556,65.149,66.910,67.810,68.366,68.651,68.714,67.503,68.150,68.580,71.585,69.379,67.256
75,0969,52.766,56.185,56.132,59.746,59.420,58.105,57.328,58.689,58.028,59.862,57.188,56.674,56.544,57.409,56.896,56.535,57.700,56.044,55.280,55.970,57.299,56.239,57.499,54.995,55.353,53.766,54.999,55.916,56.575,56.509,56.585,56.087,56.381,56.093,57.800,56.758,55.128
76,0974,36.719,39.369,39.408,42.223,42.065,41.382,40.686,41.526,41.201,41.634,40.770,39.843,39.726,40.296,39.957,39.804,40.261,39.017,38.325,39.445,40.319,39.160,40.597,38.826,39.118,38.105,38.950,39.327,39.312,39.769,39.780,39.819,39.802,39.275,40.717,39.871,38.587
77,0976,67.736,72.874,72.216,75.153,74.784,73.667,72.556,73.681,73.402,76.433,73.532,71.866,71.673,72.749,72.010,71.712,72.638,71.285,70.930,71.342,72.463,71.188,72.522,69.885,70.306,68.627,70.440,71.398,71.497,71.777,71.689,71.229,71.540,71.022,74.187,71.959,70.115
78,0987,60.413,62.981,63.197,67.711,67.515,66.539,65.927,66.674,66.404,67.576,65.742,64.420,64.263,65.199,64.654,64.460,64.897,63.344,62.390,63.869,65.292,63.809,65.435,62.093,62.612,61.223,62.571,63.565,63.494,64.051,64.198,63.783,63.994,63.767,65.512,64.486,62.532
79,0989,88.182,90.889,91.357,96.580,96.386,95.318,94.732,94.448,94.475,95.575,93.648,92.493,92.192,93.738,92.736,92.405,93.512,91.825,89.822,91.097,93.446,92.255,93.388,87.944,88.931,87.139,89.451,90.680,92.234,91.587,92.081,90.675,91.469,91.806,93.753,92.871,90.341
80,0998,27.751,30.514,30.434,32.710,32.653,32.023,31.368,32.245,31.860,32.096,31.388,30.793,30.710,31.140,30.912,30.754,31.176,30.028,29.226,30.346,31.170,30.183,31.426,30.256,30.545,29.625,30.230,30.445,30.461,30.802,30.837,31.081,30.938,30.341,31.402,30.810,29.856
81,1003,38.435,40.346,40.162,43.267,43.125,42.513,41.959,42.557,42.429,43.194,42.319,41.194,41.089,41.602,41.302,41.165,41.622,40.374,39.670,40.703,41.662,40.515,41.794,40.292,40.579,39.672,40.437,40.820,40.817,41.121,41.146,41.199,41.157,40.787,42.104,41.224,40.182
82,1014,53.545,53.002,52.468,56.314,55.928,55.642,55.513,55.087,55.631,58.457,57.442,54.356,54.203,54.997,54.336,54.351,55.253,53.517,53.093,54.249,54.858,53.844,54.662,52.450,52.546,52.020,53.452,54.263,53.434,54.200,54.112,53.472,53.849,54.134,56.745,54.433,53.318
83,1019,65.909,68.022,68.138,72.642,72.082,70.808,70.346,71.139,70.860,73.810,70.780,69.298,69.136,70.152,69.485,69.187,70.266,68.818,68.656,68.736,70.068,69.025,70.029,66.680,66.977,65.586,67.069,68.354,68.997,68.892,69.021,67.948,68.556,68.805,71.230,69.411,67.520
