"","B3LYP","B97-1","BH&HLYP","BLYP","CAM-B3LYP","LC-ωPBE","PBE","PBE0","PW86PBE"
"24",1.04,-0.02,11.66,-4.555,0.89,0.55,-6.765,1.97,-4.21
"25",1.08333333333333,-1.15,11.37,-2.89666666666667,0.636666666666667,-0.583333333333333,-8.37,-0.206666666666667,-5.25
"26",0.13,-2.69,0.725,-0.25,0.53,2.17,-0.22,0.76,0.415
"27",1.59,0.545,7.835,-1.29,4.015,9.48,-1.275,3.78,-0.015
"28",2.8,0.155,6.645,1.53,3.355,3.52,-2.23,0.8,0.315
"29",3.4,0.78,4.24,3.94,2.775,2.315,2.63,2.97,3.655
"30",4.04,3.075,12.17,0.315,3.66,5.615,-0.225,6.455,1.465
"31",3.655,1.375,10.805,0.625,4.975,6.54,-3.045,2.755,-0.995
"32",1.6,0.265,8.405,-1.565,1.365,1.485,-4.15,1.49,-1.7
"33",0.45125,1.13375,0.59,1.72375,0.02875,1.04125,1.7125,1.395,2.75125
"34",0.69,0.736,2.428,1.272,0.4,0.854,-0.748,0.168,0.872
"35",0.64,0.911666666666667,2.33666666666667,1.28333333333333,0.381666666666667,1.10333333333333,-0.436666666666667,0.421666666666667,1.16166666666667
"36",1.26,0.513333333333333,6.75333333333333,-0.613333333333333,1.13,1.77333333333333,-2.88666666666667,1.30666666666667,-0.63
"37",6.42,3.81333333333333,17.41,1.58333333333333,6.21,5.93333333333333,-3.17333333333333,5.83,0.493333333333333
"38",1.955,0.82,6.57,1.1075,-0.0025,0.06,-2.165,1.4375,0.9775
"39",3.39,0.065,5.5525,3.835,2.7075,1.255,-2.06,-0.46,1.0625
"40",4.4675,3.725,8.8375,3.4425,2.4675,2.0525,1.975,5.355,4.08
"41",4.48,1.19,5.215,5.6725,3.47,1.8925,1.4375,1.735,4.17
"42",1.98,-0.122,8.008,0.486,-0.264,-1.35,-4.924,-0.138,-0.624
"43",4.586,0.846,8.434,4.052,4.002,2.424,-2.862,0.172,0.81
"44",1.2,-1.35666666666667,9.99666666666667,-2.12333333333333,1.67333333333333,1.49333333333333,-7.57,-0.596666666666667,-4.5
"45",1.96333333333333,-0.84,9.36333333333333,-0.7,3.72666666666667,4.91,-6.24,-0.436666666666667,-3.21
"46",5.668,4.6,9.644,5.208,3.256,3.428,2.792,5.864,5.854
"47",5.916,1.912,7.094,7.034,4.868,3.186,1.38,2.122,4.816
"48",-1.34333333333333,-2.42333333333333,12.8366666666667,-8.24333333333333,-0.263333333333333,-0.616666666666667,-12.92,-1.26666666666667,-11.2766666666667
"49",-0.123333333333333,-2.02333333333333,12.14,-6.60333333333333,1.53666666666667,2.40666666666667,-10.4733333333333,-0.05,-8.43666666666667
"50",-0.445,-2.13,9.8875,-5.4875,-1.3725,-1.98,-9.755,-0.92,-6.4325
"51",3.395,2.26,9.01,1.5775,1.49,2.4125,-0.7425,3.985,2.425
"52",2.54,0.166666666666667,20.54,-6.94666666666667,3.57,2.51,-12.1266666666667,2.74,-8.53
"53",0.0933333333333333,-1.48333333333333,12.4066666666667,-6.43666666666667,-0.173333333333333,-0.56,-9.82,0.61,-6.65666666666667
"54",1.05,-0.37,11.4,-4.32,0.8425,0.9125,-8.285,0.7025,-4.9825
"55",0.466666666666667,-1.54833333333333,7.425,-1.57833333333333,-1.21666666666667,-2.325,-7.33166666666667,-1.76833333333333,-3.37
"56",3.63833333333333,0.195,8.06333333333333,3.01,3.065,1.30833333333333,-4.43,-0.998333333333333,-0.81
"57",1.31666666666667,-0.605,8.71833333333333,-1.06333333333333,-0.111666666666667,-0.93,-6.48166666666667,-0.495,-3.22666666666667
"58",0.447142857142857,0.668571428571428,3.37142857142857,0.607142857142857,0.0957142857142857,0.408571428571429,-2.15285714285714,-0.291428571428571,-0.595714285714286
"59",-0.05,0.157142857142857,3.06714285714286,-0.04,-0.232857142857143,0.3,-2.81,-0.754285714285714,-1.22142857142857
"60",0.75,0.807142857142857,3.70285714285714,1.01142857142857,0.29,-0.13,-2.50714285714286,-0.681428571428571,-0.695714285714286
"61",0.312222222222222,0.737777777777778,2.37555555555556,0.92,-0.107777777777778,0.404444444444444,-1.34333333333333,-0.193333333333333,0.191111111111111
"62",0.508888888888889,0.806666666666667,2.45555555555556,1.32333333333333,-0.114444444444444,-0.328888888888889,-1.55666666666667,-0.578888888888889,0.191111111111111
"63",0.384545454545455,0.943636363636364,1.88,1.31454545454545,-0.150909090909091,0.297272727272727,-0.662727272727273,-0.0118181818181818,0.849090909090909
"64",0.404,0.552,3.019,0.752,0.069,0.562,-2.076,-0.43,-0.406
"65",0.462,0.626,3.045,0.871,0.012,0.184,-2.032,-0.464,-0.352
"66",0.268,0.304,2.836,0.768,-0.278,-0.526,-2.646,-1.113,-0.771
"67",0.999,0.93,3.441,1.691,0.252,-0.629,-2.321,-0.949,-0.25
"68",0.862,0.622,3.326,1.438,0.245,-0.097,-2.11,-0.662,-0.071
"69",0.69,0.701666666666667,2.5375,1.57916666666667,-0.0166666666666667,-0.234166666666667,-1.43583333333333,-0.515833333333333,0.4725
"70",0.508333333333333,0.8125,2.47666666666667,1.23166666666667,-0.03,0.319166666666667,-1.29583333333333,-0.223333333333333,0.350833333333333
"71",0.512857142857143,0.942857142857143,2.04357142857143,1.47,-0.0942857142857143,0.237142857142857,-0.767142857142857,-0.0807142857142857,0.837142857142857
"72",0.6,1.01928571428571,2.12357142857143,1.56428571428571,-0.0278571428571429,0.302142857142857,-0.696428571428571,-0.01,0.914285714285714
"73",0.710769230769231,0.650769230769231,2.97076923076923,1.48923076923077,-0.0584615384615385,-0.761538461538462,-2.28846153846154,-1.05153846153846,-0.253076923076923
"74",0.673333333333333,0.111666666666667,3.7925,1.05416666666667,0.0941666666666667,-0.0975,-3.34416666666667,-1.34916666666667,-1.10083333333333
"75",0.564,0.276,4.396,0.016,-0.494,-0.314,-2.632,0.168,-0.186
"76",1.236,0.068,6.222,0.152,-0.394,-0.796,-3.828,0.04,-0.48
"77",1.778,0.604,4.142,2.03,1.41,1.23,-1.528,0.018,0.742
"78",3.104,0.674,6.184,2.97,2.642,1.794,-2.228,0.044,0.73
"79",-0.19,0.638571428571429,2.11285714285714,0.11,-0.528571428571429,0.402857142857143,-1.14571428571429,0.215714285714286,0.0757142857142857
"80",0.0783333333333333,0.183333333333333,4.18,-0.561666666666667,-0.178333333333333,0.22,-3.13666666666667,-0.206666666666667,-1.83166666666667
"81",0.04,-0.414285714285714,6.73714285714286,-2.12857142857143,-0.314285714285714,-0.357142857142857,-5.59142857142857,-0.418571428571429,-3.38142857142857
"82",0.144285714285714,-0.314285714285714,6.75857142857143,-2.14,-0.25,-0.0757142857142857,-5.28714285714286,-0.0428571428571429,-3.17142857142857
"83",0.55875,1.27375,1.29375,1.67,0.0875,0.96125,1,1.09125,2.19375
"84",0.758,0.114,6.51,-0.734,0.03,0.152,-3.974,0.362,-1.454
"85",0.50125,0.195,4.75375,-0.105,-0.25875,-0.02875,-3.1075,-0.025,-0.9
"86",0.217777777777778,0.204444444444444,3.90555555555556,-0.0722222222222222,-0.411111111111111,-0.0966666666666667,-2.83444444444444,-0.252222222222222,-0.971111111111111
"87",0.16375,0.3825,3.02375,0.36375,-0.35,-0.38,-2.39875,-0.6025,-0.72625
"88",0.0475,-1.1025,10.27,-4.2625,0.655,0.99,-8.72,-0.3925,-7.665
"89",0.068,0.669,2.193,0.569,-0.425,0.267,-1.212,0.013,0.213
"90",0.045,0.616,2.164,0.56,-0.451,0.185,-1.272,-0.061,0.168
"91",-0.018,-0.54,5.36,-1.286,-0.28,-0.27,-4.866,-0.874,-2.796
"92",0.551428571428571,0.471428571428571,3.94285714285714,0.494285714285714,-0.0957142857142857,-0.364285714285714,-2.63285714285714,-0.4,-0.548571428571429
"93",0.382857142857143,0.417142857142857,3.77428571428571,0.204285714285714,-0.124285714285714,0.19,-2.32571428571429,-0.0185714285714286,-0.512857142857143
"94",0.741666666666667,-0.236666666666667,6.78833333333333,-0.891666666666667,0.155,0.045,-4.645,-0.0333333333333333,-2.285
"95",0.508888888888889,0.883333333333333,2.87333333333333,0.947777777777778,-0.128888888888889,0.365555555555556,-1.12555555555556,0.264444444444444,0.632222222222222
"96",0.325555555555556,0.761111111111111,2.72,0.705555555555555,-0.288888888888889,0.352222222222222,-1.22666666666667,0.22,0.48
"97",0.912857142857143,0.514285714285714,3.35571428571429,1.38714285714286,0.541428571428571,0.324285714285714,-1.98571428571429,-0.55,0.08
"98",1.477,1.315,4.321,1.583,1.008,1.324,-1.119,0.788,0.894
"99",0.783333333333333,0.947777777777778,2.48,1.55444444444444,0.334444444444444,0.792222222222222,-0.651111111111111,0.203333333333333,1.06222222222222
"100",0.691111111111111,0.827777777777778,2.44111111111111,1.41666666666667,0.301111111111111,0.745555555555556,-0.773333333333333,0.127777777777778,0.922222222222222
"101",0.163333333333333,0.166666666666667,3.58,-0.0616666666666667,-0.428333333333333,-0.0516666666666667,-2.78666666666667,-0.408333333333333,-0.833333333333333
"102",0.7825,0.8025,2.51,1.52375,0.2925,0.57125,-0.92,-0.02125,0.82
"103",0.29,-0.075,3.03166666666667,0.443333333333333,-0.0116666666666667,0.203333333333333,-2.68166666666667,-0.883333333333333,-0.801666666666667
"104",0.478571428571429,0.242857142857143,5.11142857142857,-0.388571428571429,0.31,0.674285714285714,-3.68428571428571,-0.272857142857143,-2.17285714285714
"105",0.551,0.569,3.417,0.755,-0.083,0.101,-1.99,-0.136,-0.129
"106",0.8,0.41375,4.97,0.3075,-0.01375,0.025,-2.91125,0.0575,-0.60125
"107",0.77,0.231428571428571,5.12428571428571,0.11,-0.115714285714286,-0.288571428571429,-3.32571428571429,-0.14,-0.935714285714286
"108",1.00428571428571,0.141428571428571,5.01571428571429,0.47,0.537142857142857,0.438571428571429,-3.20142857142857,-0.288571428571429,-0.908571428571429
"109",0.816363636363636,0.818181818181818,2.52454545454545,1.64363636363636,0.224545454545455,0.398181818181818,-1,-0.126363636363636,0.793636363636364
"110",0.673333333333333,0.9425,2.85583333333333,1.27166666666667,-0.0491666666666667,0.303333333333333,-1.1025,0.148333333333333,0.71
"111",0.431666666666667,0.764166666666667,2.64083333333333,0.98,-0.251666666666667,0.22,-1.25583333333333,0.0341666666666667,0.508333333333333
"112",0.252307692307692,0.718461538461538,2.27846153846154,0.869230769230769,-0.346153846153846,0.218461538461538,-1.23,-0.0738461538461538,0.314615384615385
"113",0.858888888888889,0.0355555555555556,4.98111111111111,0.67,0.0522222222222222,-0.463333333333333,-3.98666666666667,-1.14888888888889,-1.35666666666667
"114",1.40444444444444,0.35,4.85555555555556,1.56555555555556,0.905555555555556,0.361111111111111,-3.33777777777778,-1.04777777777778,-0.751111111111111
"115",0.417,-0.083,4.039,0.467,-0.25,-0.545,-3.772,-1.359,-1.518
"116",0.340833333333333,-0.260833333333333,3.88416666666667,0.260833333333333,-0.1525,-0.250833333333333,-3.80916666666667,-1.3675,-1.78583333333333
"117",-0.245,2.515,0.575,0.18,0.3,2.74,2.575,2.675,2.59
"118",0.225,0.367,2.932,0.531,-0.131,0.212,-2.359,-0.658,-0.665
"119",0.6,0.686153846153846,2.98769230769231,1.12769230769231,0.116923076923077,0.446153846153846,-1.83615384615385,-0.386153846153846,-0.0930769230769231
"120",0.883333333333333,0.876,2.62266666666667,1.868,0.100666666666667,-0.0866666666666667,-1.22733333333333,-0.389333333333333,0.723333333333333
"121",0.605294117647059,0.951176470588235,2.15882352941177,1.57941176470588,-0.0476470588235294,0.207647058823529,-0.825294117647059,-0.115882352941176,0.838235294117647
"122",0.825294117647059,1.14176470588235,2.35823529411765,1.82176470588235,0.12,0.361764705882353,-0.644705882352941,0.06,1.03470588235294
"123",0.911428571428571,0.590714285714286,3.45428571428571,1.51571428571429,0.215,-0.0135714285714286,-2.31285714285714,-0.77,-0.211428571428571
"124",0.929285714285714,0.611428571428571,3.42857142857143,1.56571428571429,0.2,-0.0728571428571429,-2.27,-0.766428571428571,-0.165714285714286
"125",0.960555555555555,0.954444444444444,2.64722222222222,1.99166666666667,0.131666666666667,-0.0272222222222222,-1.14333333333333,-0.333888888888889,0.799444444444445
"126",0.6615,0.9485,2.2305,1.648,-0.0245,0.1785,-0.875,-0.1495,0.83
"127",0.7805,1.0455,2.3445,1.7765,0.071,0.2665,-0.7845,-0.0565,0.9245
"128",0.754,0.294,3.59933333333333,1.26333333333333,0.119333333333333,-0.0686666666666667,-2.916,-1.144,-0.726666666666667
