"systems","nAtoms","compos","Eref","B3LYP","B97-1","BH&HLYP","BLYP","CAM-B3LYP","LC-ωPBE","PBE","PBE0","PW86PBE"
"c2h6",8,"6 H + 2 C "," -712.36","  1.41","  7.67"," 12.86","  8.49"," -1.90","  3.27"," -3.74","  0.96","  7.07"
"hcn",3,"1 N + 1 H + 1 C "," -312.90","  0.11","  0.54"," 19.54"," -6.81","  0.66","  3.31","-12.67","  2.36","-10.74"
"co",2,"1 O + 1 C "," -259.57","  5.09","  1.12"," 22.10"," -1.47","  3.77","  2.93"," -8.48","  4.92"," -4.20"
"h2co",4,"1 O + 2 H + 1 C "," -374.05","  1.10","  1.16"," 19.57"," -3.08","  0.01","  2.26","-11.20","  2.17"," -4.47"
"h3coh",6,"1 O + 4 H + 1 C "," -512.79","  1.80","  5.07"," 18.12","  2.59"," -1.28","  3.23"," -6.67","  3.37","  3.34"
"n2",2,"2 N "," -228.53"," -0.29"," -0.55"," 21.92","-11.02","  0.55","  1.69","-14.30","  3.94","-15.27"
"h2nnh2",6,"2 N + 4 H "," -438.30"," -5.02","  0.18"," 16.46"," -8.38"," -6.36","  0.96","-14.08","  0.83"," -7.77"
"hooh",4,"2 O + 2 H "," -269.16","  2.44","  2.38"," 27.56"," -6.08","  0.89","  3.99","-12.68","  6.11"," -3.99"
"f2",2,"2 F ","  -39.16","  2.08"," -0.04"," 23.32"," -9.11","  1.78","  1.10","-13.53","  3.94"," -8.42"
"co2",3,"2 O + 1 C "," -389.76","  3.25"," -3.45"," 34.11"," -8.69","  1.91"," -1.75","-25.11"," -0.62","-15.75"
"na2",2,"2 Na ","  -17.07","  0.26"," -5.38","  1.45"," -0.50","  1.06","  4.34"," -0.44","  1.52","  0.83"
"p2",2,"2 P "," -117.23","  3.18","  1.09"," 15.67"," -2.58","  8.03"," 18.96"," -2.55","  7.56"," -0.03"
"cl2",2,"2 Cl ","  -59.61","  5.60","  0.31"," 13.29","  3.06","  6.71","  7.04"," -4.46","  1.60","  0.63"
"nacl",2,"1 Na + 1 Cl ","  -98.85","  6.80","  1.56","  8.48","  7.88","  5.55","  4.63","  5.26","  5.94","  7.31"
"sio",2,"1 O + 1 Si "," -192.98","  8.08","  6.15"," 24.34","  0.63","  7.32"," 11.23"," -0.45"," 12.91","  2.93"
"sc",2,"1 S + 1 C "," -171.95","  7.31","  2.75"," 21.61","  1.25","  9.95"," 13.08"," -6.09","  5.51"," -1.99"
"fcl",2,"1 F + 1 Cl ","  -62.62","  3.20","  0.53"," 16.81"," -3.13","  2.73","  2.97"," -8.30","  2.98"," -3.40"
"si2h6",8,"6 H + 2 Si "," -531.13","  3.61","  9.07","  4.72"," 13.79","  0.23","  8.33"," 13.70"," 11.16"," 22.01"
"ch3cl",5,"3 H + 1 C + 1 Cl "," -395.39","  3.45","  3.68"," 12.14","  6.36","  2.00","  4.27"," -3.74","  0.84","  4.36"
"h3csh",6,"4 H + 1 S + 1 C "," -474.22","  3.84","  5.47"," 14.02","  7.70","  2.29","  6.62"," -2.62","  2.53","  6.97"
"hocl",3,"1 O + 1 H + 1 Cl "," -165.55","  3.78","  1.54"," 20.26"," -1.84","  3.39","  5.32"," -8.66","  3.92"," -1.89"
"so2",3,"2 O + 1 S "," -259.32"," 19.26"," 11.44"," 52.23","  4.75"," 18.63"," 17.80"," -9.52"," 17.49","  1.48"
"bf3",4,"3 F + 1 B "," -471.34","  7.82","  3.28"," 26.28","  4.43"," -0.01","  0.24"," -8.66","  5.75","  3.91"
"bcl3",4,"1 B + 3 Cl "," -325.26"," 13.56","  0.26"," 22.21"," 15.34"," 10.83","  5.02"," -8.24"," -1.84","  4.25"
"alf3",4,"3 F + 1 Al "," -428.07"," 17.87"," 14.90"," 35.35"," 13.77","  9.87","  8.21","  7.90"," 21.42"," 16.32"
"alcl3",4,"1 Al + 3 Cl "," -308.96"," 17.92","  4.76"," 20.86"," 22.69"," 13.88","  7.57","  5.75","  6.94"," 16.68"
"cf4",5,"4 F + 1 C "," -477.74","  9.90"," -0.61"," 40.04","  2.43"," -1.32"," -6.75","-24.62"," -0.69"," -3.12"
"ccl4",5,"1 C + 4 Cl "," -315.98"," 22.93","  4.23"," 42.17"," 20.26"," 20.01"," 12.12","-14.31","  0.86","  4.05"
"ocs",3,"1 O + 1 S + 1 C "," -334.40","  3.60"," -4.07"," 29.99"," -6.37","  5.02","  4.48","-22.71"," -1.79","-13.50"
"cs2",3,"2 S + 1 C "," -279.04","  5.89"," -2.52"," 28.09"," -2.10"," 11.18"," 14.73","-18.72"," -1.31"," -9.63"
"sif4",5,"4 F + 1 Si "," -575.02"," 28.34"," 23.00"," 48.22"," 26.04"," 16.28"," 17.14"," 13.96"," 29.32"," 29.27"
"sicl4",5,"1 Si + 4 Cl "," -387.19"," 29.58","  9.56"," 35.47"," 35.17"," 24.34"," 15.93","  6.90"," 10.61"," 24.08"
"n2o",3,"2 N + 1 O "," -270.78"," -4.03"," -7.27"," 38.51","-24.73"," -0.79"," -1.85","-38.76"," -3.80","-33.83"
"clno",3,"1 N + 1 O + 1 Cl "," -192.43"," -0.37"," -6.07"," 36.42","-19.81","  4.61","  7.22","-31.42"," -0.15","-25.31"
"nf3",4,"1 N + 3 F "," -205.78"," -1.78"," -8.52"," 39.55","-21.95"," -5.49"," -7.92","-39.02"," -3.68","-25.73"
"pf3",4,"3 F + 1 P "," -365.08"," 13.58","  9.04"," 36.04","  6.31","  5.96","  9.65"," -2.97"," 15.94","  9.70"
"o3",3,"3 O "," -147.55","  7.62","  0.50"," 61.62","-20.84"," 10.71","  7.53","-36.38","  8.22","-25.59"
"f2o",3,"2 F + 1 O ","  -93.96","  0.28"," -4.45"," 37.22","-19.31"," -0.52"," -1.68","-29.46","  1.83","-19.97"
"clf3",4,"3 F + 1 Cl "," -127.33","  4.20"," -1.48"," 45.60","-17.28","  3.37","  3.65","-33.14","  2.81","-19.93"
"c2f4",6,"4 F + 2 C "," -585.56","  2.80"," -9.29"," 44.55"," -9.47"," -7.30","-13.95","-43.99","-10.61","-20.22"
"c2cl4",6,"2 C + 4 Cl "," -470.13"," 21.83","  1.17"," 48.38"," 18.06"," 18.39","  7.85","-26.58"," -5.99"," -4.86"
"cf3cn",6,"1 N + 3 F + 2 C "," -640.86","  7.90"," -3.63"," 52.31"," -6.38"," -0.67"," -5.58","-38.89"," -2.97","-19.36"
"propyne",7,"4 H + 3 C "," -705.09","  3.13","  4.68"," 23.60","  4.25","  0.67","  2.86","-15.07"," -2.04"," -4.17"
