"systems","nAtoms","compos","Eref","B3LYP","B97-1","BH&HLYP","BLYP","CAM-B3LYP","LC-ωPBE","PBE","PBE0","PW86PBE"
"piperidine",17,"1 N + 11 H + 5 C ","-1630.92"," 13.45"," 13.24"," 48.73"," 26.69"," -0.51"," -1.39","-25.75"," -5.98","  6.87"
"t-butyl-methyl-ether",18,"1 O + 12 H + 5 C ","-1689.20"," 15.08"," 18.35"," 51.21"," 28.43","  0.59","  5.42","-18.63","  1.70"," 14.27"
"1-3-difluorobenzene",12,"2 F + 4 H + 6 C ","-1387.25"," 10.85"," -3.52"," 62.46","  8.00"," -0.65"," -8.46","-56.31","-19.43","-21.71"
"1-4-difluorobenzene",12,"2 F + 4 H + 6 C ","-1386.59"," 10.86"," -3.44"," 62.58","  7.93"," -0.60"," -8.32","-56.26","-19.31","-21.73"
"fluorobenzene",12,"1 F + 5 H + 6 C ","-1378.42","  9.78"," -0.76"," 54.32"," 10.61","  0.56"," -4.47","-47.91","-17.47","-17.17"
"diisopropyl-ether",21,"1 O + 14 H + 6 C ","-1987.22"," 16.87"," 20.42"," 58.11"," 33.17","  0.03","  5.01","-22.87","  0.03"," 15.77"
"pf5",6,"5 F + 1 P "," -558.74"," 31.85"," 22.28"," 60.81"," 26.48"," 16.14"," 16.38","  4.25"," 27.76"," 28.34"
"sf6",7,"6 F + 1 S "," -480.73"," 39.46"," 23.87"," 82.64"," 27.91"," 21.44"," 13.74","-11.68"," 23.89"," 21.36"
"p4",4,"4 P "," -289.74"," 15.69","  4.87"," 36.69"," 10.78"," 22.06"," 21.91","-13.95","  1.88"," -1.57"
"so3",4,"3 O + 1 S "," -344.72"," 29.55"," 17.40"," 72.11"," 12.34"," 27.22"," 21.93","-12.22"," 22.48","  4.86"
"scl2",3,"1 S + 2 Cl "," -130.80","  9.62"," -0.40"," 22.72","  5.54"," 11.67"," 12.32"," -9.05","  1.68","  0.29"
"pocl3",5,"1 O + 1 P + 3 Cl "," -361.36"," 27.73"," 10.53"," 49.81"," 23.28"," 24.55"," 20.46"," -4.28"," 13.60"," 13.83"
"pcl5",6,"1 P + 5 Cl "," -312.88"," 30.39","  6.38"," 48.92"," 29.23"," 28.25"," 22.04"," -9.02","  6.04"," 13.06"
"cl2o2s",5,"2 O + 1 S + 2 Cl "," -334.41"," 34.01"," 16.40"," 71.58"," 20.71"," 32.71"," 27.32","-12.08"," 18.78","  8.72"
"pcl3",4,"1 P + 3 Cl "," -234.90"," 14.04","  0.68"," 27.77"," 11.20"," 15.06"," 16.24"," -7.67","  3.75","  4.50"
"cl2s2",4,"2 S + 2 Cl "," -197.70"," 10.36"," -4.16"," 31.30","  2.78"," 15.13"," 17.15","-19.24"," -1.42"," -5.61"
"sicl2",3,"1 Si + 2 Cl "," -207.94"," 10.13","  0.86"," 17.53","  9.55"," 10.27"," 11.55"," -1.49","  4.44","  6.11"
"cf3cl",5,"3 F + 1 C + 1 Cl "," -433.74"," 11.24"," -0.97"," 39.41","  4.28","  2.18"," -3.63","-24.29"," -1.74"," -3.73"
"c2f6",8,"6 F + 2 C "," -790.86"," 16.96"," -1.15"," 65.29","  5.57"," -1.81","-11.57","-41.65"," -2.79"," -6.94"
"beh",2,"1 H + 1 Be ","  -49.94"," -7.83"," -2.40"," -7.43"," -6.93"," -7.84"," -7.23"," -5.46"," -5.75"," -6.23"
"ch",2,"1 H + 1 C ","  -83.99"," -1.39","  0.80","  1.40"," -1.58"," -0.52","  2.37"," -0.67","  1.11"," -0.79"
"ch2trip",3,"2 H + 1 C "," -190.49"," -1.50","  2.98","  1.61","  0.59"," -1.82"," -2.82"," -3.85"," -3.02"," -1.22"
"ch3",4,"3 H + 1 C "," -307.59"," -2.12","  3.86","  2.49","  0.79"," -2.72","  0.06"," -2.10"," -0.53","  1.12"
"nh",2,"1 N + 1 H ","  -83.52"," -4.37"," -1.01","  0.07"," -5.87"," -3.46"," -1.18"," -4.86"," -1.55"," -5.59"
"nh2",3,"1 N + 2 H "," -181.71"," -5.99"," -1.04","  2.05"," -7.63"," -5.24"," -0.69"," -6.72"," -1.16"," -6.32"
"oh",2,"1 O + 1 H "," -106.69"," -1.34","  0.56","  4.71"," -2.87"," -1.52","  0.31"," -3.07","  1.14"," -1.53"
"sih2trip",3,"2 H + 1 Si "," -131.15"," -1.09","  2.26"," -0.03","  1.42"," -1.39"," -1.56","  0.18"," -0.34","  3.47"
"sih3",4,"3 H + 1 Si "," -225.84"," -1.30","  3.76"," -0.45","  2.74"," -2.21","  1.99","  4.59","  3.53","  7.89"
"ph2",3,"1 P + 2 H "," -152.92"," -4.60"," -0.27"," -1.60"," -3.49"," -4.23","  2.28"," -0.51","  0.89","  1.32"
"cn",2,"1 N + 1 C "," -181.53","  2.78","  1.53"," 24.89"," -9.05","  6.02","  6.76","-15.23","  3.47","-14.55"
"hco",3,"1 O + 1 H + 1 C "," -279.05"," -0.73"," -1.81"," 18.12"," -7.39"," -1.45"," -1.27","-15.47"," -0.88"," -9.95"
"no",2,"1 N + 1 O "," -152.93"," -1.51"," -3.32"," 21.23","-12.76"," -1.57"," -3.17","-18.46","  0.30","-16.00"
"o2",2,"2 O "," -120.76"," -2.39"," -6.31"," 21.20","-14.00"," -3.09"," -6.41","-22.31"," -3.10","-15.89"
"si2",2,"2 Si ","  -75.61","  3.46","  0.56","  8.05","  1.89"," 10.10"," 13.60"," -3.74","  2.58"," -0.78"
"s2",2,"2 S "," -102.79","  1.94"," -2.77"," 12.44"," -2.28","  5.04","  7.71","-10.01"," -1.54"," -4.94"
"so",2,"1 O + 1 S "," -125.81","  2.42"," -0.96"," 19.62"," -5.81","  2.81","  3.46","-12.10","  2.15"," -6.82"
"clo",2,"1 O + 1 Cl ","  -65.62","  1.41"," -1.82"," 17.28"," -7.11","  2.56","  3.17","-13.61","  0.46"," -8.95"
"sh",2,"1 H + 1 S ","  -87.47"," -0.19","  1.17","  2.25","  0.21","  0.01","  2.50"," -0.05","  1.24","  1.73"
"cch",3,"1 H + 2 C "," -266.31","  4.14","  4.77"," 18.58","  0.16","  4.64","  3.34","-10.18","  0.42"," -6.32"
"c2h3",5,"3 H + 2 C "," -445.08"," -1.87","  1.14"," 10.87"," -1.39"," -2.59"," -0.38","-12.40"," -4.26"," -5.90"
"ch3co",6,"1 O + 3 H + 2 C "," -581.78","  0.27"," -0.75"," 24.48"," -3.55"," -2.61"," -2.48","-21.01"," -3.59"," -9.68"
"h2coh",5,"1 O + 3 H + 1 C "," -409.79"," -0.59","  1.86"," 15.35"," -1.79"," -3.27"," -1.23","-11.29"," -0.64"," -2.61"
"ch3o",5,"1 O + 3 H + 1 C "," -400.71"," -2.63"," -0.27"," 11.14"," -3.64"," -4.39"," -0.86","-12.00"," -2.11"," -4.57"
"ch3ch2o",8,"1 O + 5 H + 2 C "," -698.45","  4.43","  3.32"," 22.95","  6.59"," -3.11","  3.33","-11.10","  1.17","  2.11"
"ch3s",5,"3 H + 1 S + 1 C "," -381.63","  0.24","  1.07","  8.93","  2.77"," -1.08","  1.31"," -6.74"," -1.87","  0.77"
"c2h5",7,"5 H + 2 C "," -603.55"," -1.15","  4.65","  9.22","  4.35"," -3.87"," -1.08"," -7.88"," -3.21","  1.24"
"ch3chch3",10,"7 H + 3 C "," -900.41","  0.39","  6.00"," 16.32","  8.67"," -4.64"," -1.91","-13.17"," -5.53","  1.92"
"t-butyl-radical",13,"9 H + 4 C ","-1199.08","  4.03","  9.36"," 25.35"," 15.24"," -3.52"," -0.97","-16.49"," -6.00","  4.61"
"no2",3,"1 N + 2 O "," -227.82"," -3.83"," -8.78"," 39.64","-25.44"," -2.24"," -5.64","-40.87"," -4.97","-32.74"
"cf3",4,"3 F + 1 C "," -344.85","  2.20"," -4.82"," 27.66"," -6.01"," -5.06","-10.21","-26.41"," -5.68","-10.90"
"phenyl-radical",11,"5 H + 6 C ","-1248.06","  5.22"," -2.59"," 42.52","  7.38"," -0.74"," -5.91","-45.83","-20.97","-20.28"
