"","G4MP2","B3LYP","M06-2X","wB97X-D"
"293",-0.260000000000005,4.41,4.09999999999999,0.039999999999992
"294",-1.62,-2.02000000000001,-0.390000000000001,-0.63000000000001
"295",0.439999999999998,8.47,4.8,1.92
"296",-1.17,-1.16,-0.670000000000002,-0.77
"297",-1.01,-1.54,4.09,0.939999999999998
"298",-1.25,-1.62,4.19,1.05
"299",-0.959999999999994,6.17,2.23,1.33
"300",0.200000000000003,3.66000000000001,1.59,3.09
"301",0,6.69,3.08999999999999,2.97
"302",-1.84,1.73,0.429999999999993,-0.909999999999997
"303",-0.980000000000004,5.86,1.84999999999999,2.02
"304",-1.57000000000001,2.14,3.14999999999999,0.149999999999991
"305",0.039999999999992,1.87,4.06,1.17999999999999
"306",0.659999999999997,9.31999999999999,4.75999999999999,2.2
"307",-0.560000000000002,7.36,3.05,0.650000000000006
"308",1.06999999999999,1.05999999999999,4.5,2.53999999999999
"309",0.240000000000002,5.82,-7.78,-9.02
"310",1.78,4.35,7.19,4.73
"311",0.450000000000003,4.13,4.58,2.21
"312",-1.47999999999999,3.09,0.909999999999997,0.0499999999999972
"313",-1.70999999999999,4.19,2.26000000000001,1.53
"314",-1.01000000000001,4.94999999999999,1.64,0.909999999999997
"315",-0.72999999999999,6.62,1.91000000000001,1.49000000000001
"316",-0.819999999999993,6.68000000000001,2,1.53
"317",-0.430000000000007,6.20999999999999,1.97,1.39999999999999
"318",-0.240000000000009,4.73999999999999,7.70999999999999,5.39999999999999
"319",-0.129999999999995,3.21000000000001,9.40000000000001,2.58000000000001
"320",-0.890000000000015,-2.30000000000001,4.26999999999998,0.359999999999985
"321",-0.0900000000000034,5.88,5.88999999999999,4.75
"322",-0.509999999999991,7.19,8.53,1.68000000000001
"323",0.400000000000006,3.90000000000001,5.53,5.12
"324",-0.879999999999995,7.60999999999999,6.57999999999998,3.57999999999998
"325",-0.579999999999998,4.53,9.34999999999999,2.81999999999999
"326",-1.10999999999999,5.09,7.34999999999999,0.340000000000003
"327",-1.69,-1.69,5.56,4.41000000000003
"328",0.340000000000003,6.09,11,1.17000000000002
"329",-0.689999999999998,-5.53999999999999,1.84999999999999,-3.56999999999999
"330",-0.219999999999999,1.72,-1.54000000000001,-4.02
"331",-0.629999999999995,4.31,-0.670000000000002,-5.73
"332",-0.99,4.08,-1.73,0.0700000000000003
"333",-0.309999999999999,4.23,2.53,1.71
"334",-0.16,5.87,-1.11,1.09
"335",-1.03,6.81,-0.94,0.55
"336",-1.15000000000001,0.299999999999997,-2.63,-4.09
"337",-1.03,2,-1.83,-2.4
"338",-2.15,1.57,0.539999999999999,0.199999999999999
"339",-0.600000000000001,5.76,-1.89,0.739999999999998
"340",-0.59,4.62,-2.19,0.109999999999999
"341",-0.0800000000000001,8.89,0.45,1.21
"342",0.390000000000001,2.53,2.44,2.26
"343",-1.13,0.550000000000004,1.86,-1.31
"344",-1.81,-1.32,-3.35,-4.69
"345",-1.83,1.54,-2.97,-3.91999999999999
"346",-0.0400000000000009,3.36,-1.19,-1.32
"347",-1.3,1.28,-2.77,-3.13
"348",-0.58,4.19,-1.05,1.45
"349",-1.38,1.89,-2.21,1.11
"350",-0.809999999999999,5.28,-2.67,0.360000000000003
"351",-0.32,4.27,-2.42,0.169999999999998
"352",-0.109999999999999,2.97,-2.74,-0.59
"353",-0.18,8.17,-1.1,1.24
"354",-0.5,4.82,-2.32,0.5
"355",0.890000000000001,5.62,1.91,1.82
"356",0.640000000000001,4.64,2.72,2.35
"357",-2.1,1.56,-3.72,-4.22
"358",-1.6,0.43,-3.15,-3.98
"359",0.48,1.37,-1.95,-2.4
"360",-0.45,3.16,-2.05,-1.69
"361",-0.19,4.1,-0.799999999999999,1.64
"362",-0.979999999999999,1.59,-2.92,0.67
"363",0.640000000000001,3.6,1.64,1.95
"364",1.16,6.48,1.69,2.11
"365",0.93,6.22,1.32,1.66
"366",0.879999999999999,6.12,1.36,1.78
"367",-1.34,-1.56999999999999,0.950000000000003,-0.890000000000001
"368",0.310000000000002,0.380000000000003,-0.899999999999999,-0.509999999999998
"369",-0.460000000000001,0.379999999999995,-2.4,-2.29
"370",0.6,5.18,1.77,2.81
"371",0.149999999999999,3.4,-1.47,1.31
"372",-0.469999999999999,0.640000000000001,-2.83,0.59
"373",0.539999999999999,8.56,-1.24,1.34
"374",-0.780000000000001,8.11,-2.5,0.789999999999999
"375",-2.24,3.57,-4.93,-1.81
"376",1.18,1.69,0.859999999999999,-1.39
"377",1.57,6.79,1.61,2.31
"378",1.38,7.18,1.35,2.28
"379",1.36,7.27,1.22,2.08
"380",1.5,7.4,1.51,2.46
"381",1.21,6.39,1.23,1.92
"382",0.989999999999998,6.82,0.739999999999998,1.55
"383",1.13,2.49,0.41,0.93
"384",-0.39,-1.96,-2.49,-1.76
"385",-0.79,-0.67,-2.6,-0.25
"386",0.0999999999999996,3.8,-2.46,-1.12
"387",0.019999999999996,1.18,1.8,1.13
"388",-1.31,6.59,-0.600000000000001,1.91
"389",-0.399999999999999,9.12,0.73,2.54
"390",1.11,2.83,0.150000000000006,-2.78999999999999
"391",2.47,10.38,5.25,5.7
"392",-2.45,1.52,-3.66,-0.350000000000001
"393",-1.88,4.12,0.620000000000005,1.72
"394",-2.31,18.02,0.540000000000006,4.08000000000001
"395",-1.84,3.55,0.5,2.85
"396",0.0999999999999996,4.12,4.31,2.55
"397",-0.490000000000002,4.56,1.34,1.5
"398",-0.510000000000005,5.63999999999999,1.76,4.21
"399",-0.25,6.11,1.44,2.17
"400",-1.02,5.06,0.49,1.3
"401",-1.58,4.9,1.29,1.39
"402",-0.189999999999998,6.28,1.65000000000001,4.59
"403",-2.6,2.67,1.13,2.07
"404",-2.25,2.07,1.74,0.42
"405",-2.74,2.02,1.18,1.9
"406",-2.96,4.38,-1.62,-0.23
"407",-1.5,5.38,0.859999999999999,1.34999999999999
"408",2.06,8.69,3.40000000000001,6.84999999999999
"409",-1.79,2.52,1.74,0.659999999999997
"410",-0.0399999999999991,5.09,3.46,4.61
"411",1.14,6.04,4.54,3.73
"412",-2.07,3.83,1.38,2.73
"413",-1.81,2.84,0.729999999999997,4.18
"414",-2.19,4.64,-1.45999999999999,2.56
"415",-0.629999999999995,7.77000000000001,0.800000000000011,4.31
"416",2.28,10.1,4.92,6.02
"417",-0.469999999999999,6.76,-1.19,1.61
"418",0.0599999999999987,7.84,-0.59,4.42
"419",-0.0999999999999979,8.88,-0.609999999999999,4.47
"420",-0.289999999999992,2.84,3.81,4.30000000000001
"421",-0.48,8.72,-1.57,4.07
"422",-0.109999999999999,8.03,-1.47,3.71
"423",-0.140000000000001,9.23,-1.71,4.42
"424",-0.230000000000004,7.6,-2.03,3.44
"425",-0.600000000000001,6.13,-2.46,2.17
"426",2.14,3.54000000000001,4.40000000000001,5.21000000000001
"427",2.26,9.14,2.53,5.75
"428",-0.469999999999999,12.67,1.33,6.28
